纬度,经度,速度,方向
23.7904168,114.6896951,64,0
23.7915024,114.6911452,69,0
23.7937904,114.6945258,79,0
23.7950904,114.6962563,80,0
23.7966204,114.6979257,80,0
23.7980401,114.69952,79,0
23.799408,114.7011463,79,0
23.8006599,114.7028126,75,0
23.8017456,114.7043988,66,0
23.8026632,114.7058487,58,0
23.8036187,114.7072187,60,0
23.8044545,114.7087568,66,0
23.8053227,114.7104792,73,0
23.8062574,114.7122943,75,0
23.8071981,114.7141152,71,0
23.8081523,114.7157917,69,0
23.809339,114.717318,71,0
23.8134033,114.7218944,80,0
23.8146368,114.7236706,77,0
23.8155703,114.7255107,75,0
23.816304,114.7274549,75,0
23.8168358,114.7294941,77,0
23.8172336,114.7316382,79,0
23.8175993,114.7337583,75,0
23.8179669,114.7357585,71,0
23.8182277,114.7376496,68,0
23.8185275,114.7394257,64,0
23.8189272,114.7411139,62,0
23.8194928,114.742746,64,0
23.8202584,114.7443941,69,0
23.821276,114.7460502,73,0
23.8224394,114.7476743,80,0
23.8256199,114.7511304,86,0
23.827151,114.7527675,80,0
23.8285343,114.7543995,77,0
23.8297817,114.7560476,77,0
23.8307713,114.7578046,77,0
23.8341676,114.7630528,75,0
23.8353349,114.764669,73,0
23.8365142,114.766125,68,0
23.8375095,114.7674769,62,0
23.8385929,114.768677,60,0
23.8406918,114.771013,60,0
23.8417912,114.772261,66,0
23.8429247,114.773677,71,0
23.8441079,114.775325,79,0
23.8451164,114.7770951,69,0
23.8460978,114.7787781,71,0
23.8477969,114.7822422,68,0
23.8485305,114.7838422,60,0
23.849214,114.7853222,58,0
23.8498956,114.7868423,62,0
23.8506132,114.7884103,64,0
23.8513787,114.7900903,69,0
23.8522122,114.7919304,75,0
23.8530936,114.7938424,77,0
23.8539931,114.7957064,73,0
23.8550824,114.7974244,73,0
23.8562996,114.7989764,73,0
23.859414,114.8015762,80,0
23.861281,114.8025041,77,0
23.863178,114.8031119,73,0
23.864979,114.8033918,69,0
23.8666612,114.8034126,62,0
23.8681105,114.8032765,53,0
23.8694418,114.8030924,49,0
23.8706932,114.8029643,47,0
23.8732419,114.8026281,51,0
23.8746232,114.8024599,55,0
23.8761415,114.8023088,62,0
23.8777887,114.8022366,66,0
23.8812869,114.8028525,68,0
23.882888,114.8035003,62,0
23.8842532,114.8042682,57,0
23.8854184,114.8050841,53,0
23.8865387,114.805878,51,0
23.8890075,114.8074299,58,0
23.8903567,114.8083657,66,0
23.8918398,114.8093976,71,0
23.8949384,114.8115418,71,0
23.8964908,114.8125511,71,0
23.898157,114.8134241,75,0
23.8998572,114.8144415,75,0
23.9013918,114.8156591,71,0
23.9028344,114.8168053,57,0
23.9038009,114.8176202,44,0
23.9047976,114.8182673,49,0
23.9075121,114.8193189,62,0
23.9090947,114.819918,66,0
23.9106931,114.8206929,71,0
23.9123592,114.8216196,75,0
23.9142073,114.8224505,79,0
23.9161721,114.822786,75,0
23.9179895,114.8226742,68,0
23.9195214,114.8221868,57,0
23.9207717,114.8215877,51,0
23.921922,114.8210045,49,0
23.9231402,114.8204053,53,0
23.9258379,114.8197103,53,0
23.9271863,114.8197612,51,0
